,Synset,W Num,Word,Type,Sense,Tag Count
0,100001740,1,entitat,n,1,0
1,100001930,1,entitat física,n,1,0
2,100002137,1,abstracció,n,2,0
3,100002452,1,cosa,n,7,0
4,100002684,1,cosa,n,2,0
5,100002684,2,objecte,n,1,0
6,100002684,3,objecte físic,n,1,0
7,100002684,4,objecte inanimat,n,1,0
8,100003553,1,conjunt,n,2,0
9,100003553,2,unitat,n,1,0
10,100003553,3,unitat completa,n,1,0
11,100004258,1,entitat viva,n,1,0
12,100004258,2,organisme,n,2,0
13,100004258,3,ésser viu,n,2,0
14,100004475,1,organisme,n,1,0
15,100004475,2,ésser,n,1,0
16,100004475,3,ésser viu,n,1,0
17,100005787,1,bentos,n,1,0
18,100006024,1,heterotròfia,n,1,0
19,100006269,1,vida,n,6,0
20,100006484,1,cèl·lula,n,1,0
21,100007347,1,agent causal,n,1,0
22,100007347,2,causa,n,4,0
23,100007846,1,humà,n,1,0
24,100007846,2,individu,n,1,0
25,100007846,3,mortal,n,1,0
26,100007846,4,persona,n,1,0
27,100007846,5,ésser humà,n,1,0
28,100015388,1,animal,n,1,0
29,100015388,2,bèstia,n,1,0
30,100015388,3,criatura,n,1,0
31,100015388,4,fauna,n,1,0
32,100017222,1,flora,n,1,0
33,100017222,2,planta,n,1,0
34,100017222,3,plantae,n,1,0
35,100019128,1,objecte natural,n,1,0
36,100019613,1,substància,n,2,0
37,100020090,1,substància,n,1,0
38,100020090,2,sustància,n,1,0
39,100020827,1,matèria,n,5,0
40,100020827,2,substància,n,4,0
41,100021265,1,aliment,n,3,0
42,100021265,2,menjar,n,5,0
43,100021265,3,nutrient,n,2,0
44,100021265,4,sustent,n,2,0
45,100021734,1,nutrient,n,3,0
46,100021939,1,artefacte,n,1,0
47,100022903,1,article,n,2,0
48,100023100,1,tret psicològic,n,1,0
49,100023271,1,cognició,n,1,0
50,100023271,2,coneixement,n,1,0
51,100023271,3,coneixements,n,1,0
52,100023271,4,noesi,n,1,0
53,100023271,5,noesis,n,1,0
54,100023271,6,saber,n,1,0
55,100023773,1,motiu,n,1,0
56,100023773,2,motivació,n,1,0
57,100023773,3,necessitat,n,1,0
58,100024264,1,atribut,n,1,0
59,100024264,2,tret,n,3,0
60,100024720,1,estat,n,1,0
61,100026192,1,sentiment,n,2,0
62,100027167,1,lloc,n,2,0
63,100027167,2,ubicació,n,1,0
64,100027807,1,forma,n,6,0
65,100028270,1,temps,n,2,0
66,100028651,1,espai,n,4,0
67,100028651,2,infinit,n,1,0
68,100029114,1,nolex,n,4,0
69,100029378,1,esdeveniment,n,1,0
70,100029677,1,procés,n,1,0
71,100029677,2,procés físic,n,1,0
72,100030358,1,acció,n,4,0
73,100030358,2,acció humana,n,1,0
74,100030358,3,acte,n,2,0
75,100030358,4,activitat humana,n,1,0
76,100031264,1,agrupació,n,1,0
77,100031264,2,col·lectiu,n,1,0
78,100031264,3,grup,n,1,0
79,100031921,1,lligam,n,1,0
80,100031921,2,relació,n,1,0
81,100031921,3,vincle,n,1,0
82,100032613,1,possessió,n,3,0
83,100032823,1,relació social,n,1,0
84,100033020,1,comunicació,n,1,0
85,100033615,1,mesura,n,3,0
86,100033615,2,quantia,n,1,0
87,100033615,3,quantitat,n,2,0
88,100034213,1,fenomen,n,1,0
89,100034479,1,cosa,n,5,0
90,100034574,1,amabilitat,n,4,0
91,100034574,2,bondat,n,2,0
92,100034939,1,avortament,n,4,0
93,100035189,1,aconseguiment,n,1,0
94,100035189,2,assoliment,n,1,0
95,100035189,3,consecució,n,1,0
96,100035189,4,realització,n,1,0
97,100035189,5,èxit,n,1,0
98,100035697,1,agon,n,1,0
99,100036762,1,consecució,n,2,0
100,100036762,2,feta,n,1,0
101,100036762,3,fita,n,1,0
102,100036762,4,gesta,n,1,0
103,100036762,5,proesa,n,1,0
104,100037006,1,obra mestra,n,2,0
105,100037090,1,cop d''efecte,n,1,0
106,100037396,1,acció,n,1,0
107,100037396,2,acte,n,1,0
108,100037396,3,fet,n,1,0
109,100038175,1,res gestae,n,1,0
110,100038262,1,camí,n,4,0
111,100039021,1,interacció,n,1,0
112,100039211,1,interacció,n,2,0
113,100039297,1,contacte,n,4,0
114,100040152,1,estira-i-arronsa,n,1,0
115,100040152,2,intercanvi,n,2,0
116,100040152,3,reciprocació,n,1,0
117,100040420,1,reciprocitat,n,2,0
118,100040545,1,fertilització creuada,n,2,0
119,100040804,1,tracte,n,10,0
120,100041740,1,bitlles,n,1,0
121,100041899,1,adquisició,n,4,0
122,100041899,2,assoliment,n,2,0
123,100041899,3,consecució,n,3,0
124,100042311,1,causalitat,n,1,0
125,100042541,1,lliurament,n,3,0
126,100042757,1,partença,n,1,0
127,100042757,2,partida,n,3,0
128,100042757,3,sortida,n,2,0
129,100043116,1,gesta,n,2,0
130,100043116,2,heroïcitat,n,3,0
131,100043116,3,proesa,n,3,0
132,100043195,1,descoberta,n,1,0
133,100043195,2,descobriment,n,1,0
134,100043195,3,troballa,n,1,0
135,100044150,1,execució,n,3,0
136,100044150,2,implementació,n,1,0
137,100044455,1,emergència,n,3,0
138,100044673,1,anivellació,n,1,0
139,100044673,2,anivellament,n,1,0
140,100044673,3,homogeneïtzació,n,2,0
141,100044673,4,igualació,n,1,0
142,100044900,1,desenterrament,n,1,0
143,100044900,2,exhumació,n,1,0
144,100045250,1,propulsió,n,1,0
145,100045646,1,recuperació,n,4,0
146,100045646,2,rehabilitació,n,1,0
147,100045907,1,recobrament,n,1,0
148,100045907,2,recuperació,n,1,0
149,100046177,1,escapar,n,1,0
150,100046344,1,proesa,n,2,0
151,100046522,1,contacte,n,3,0
152,100047018,1,feta,n,2,0
153,100047018,2,gesta,n,3,0
154,100047018,3,proesa,n,4,0
155,100047745,1,expedient,n,2,0
156,100047745,2,historial,n,4,0
157,100047941,1,fet consumat,n,1,0
158,100048225,1,aconseguiment,n,2,0
159,100048225,2,arribada,n,4,0
160,100048225,3,assoliment,n,4,0
161,100048225,4,consecució,n,5,0
162,100048374,1,arribada,n,2,0
163,100048656,1,assoliment,n,5,0
164,100048828,1,adveniment,n,1,0
165,100048828,2,vinguda,n,1,0
166,100049003,1,entrada,n,2,0
167,100049530,1,intrusió,n,5,0
168,100049636,1,irrupció,n,3,0
169,100049789,1,accés,n,5,0
170,100049789,2,entrada,n,22,0
171,100050037,1,inscripció,n,2,0
172,100050037,2,matriculació,n,2,0
173,100050037,3,registre,n,6,0
174,100050195,1,aparició,n,2,0
175,100050693,1,aparició,n,3,0
176,100050887,1,reaparició,n,2,0
177,100051192,1,retorn,n,4,0
178,100051192,2,tornada,n,4,0
179,100051385,1,repatriació,n,1,0
180,100051385,2,repatriament,n,1,0
181,100051525,1,penetració,n,2,0
182,100052146,1,amarrament,n,1,0
183,100052146,2,amarratge,n,3,0
184,100052146,3,ancoratge,n,2,0
185,100052146,4,atracada,n,1,0
186,100052334,1,arribada,n,3,0
187,100052500,1,aterratge,n,1,0
188,100052791,1,aterratge forçós,n,1,0
189,100053020,1,escapar,n,2,0
190,100053097,1,adéu,n,1,0
191,100053097,2,comiat,n,2,0
192,100053525,1,acomiadament,n,4,0
193,100053525,2,comiat,n,4,0
194,100053525,3,despedida,n,1,0
195,100053609,1,desaparició,n,3,0
196,100053806,1,esvaniment,n,1,0
197,100053913,1,retirada,n,2,0
198,100054328,1,retirar-se,n,1,0
199,100054652,1,retir,n,4,0
200,100054652,2,retraïment,n,1,0
201,100054821,1,evacuació,n,2,0
202,100055038,1,medivac,n,1,0
203,100055227,1,decampar,n,1,0
204,100055315,1,abandonament,n,2,0
205,100055315,2,abandó,n,2,0
206,100055315,3,deserció,n,1,0
207,100055315,4,elusió,n,1,0
208,100055633,1,evasió,n,7,0
209,100055633,2,fuga,n,6,0
210,100055793,1,absència,n,4,0
211,100055932,1,desviacionisme,n,1,0
212,100056087,1,emigració,n,1,0
213,100056311,1,immigració,n,1,0
214,100056551,1,aliyyà,n,1,0
215,100056912,1,retirada,n,3,0
216,100057306,1,retirada,n,5,0
